Player,ast_per_g,blk_per_g,fg2_pct,fg3_pct,height,lb,pts_per_g,stl_per_g,tov_per_g,trb_per_g,years,School,Pick,Games,WS
Courtney Lee,2.2,0.6,0.498,0.401,77,200,17.6,1.9,2.3,5.2,4,Western Kentucky,22,677,34.3
Kosta Koufos,0.5,1.8,0.535,0.349,84,265,14.4,0.4,1.5,6.7,1,Ohio State,23,573,23.7
George Hill,3.3,0.3,0.565,0.404,74,180,17,1.6,2.9,5.8,4,IUPUI,26,599,53.9
Darrell Arthur,0.6,1.4,0.552,0.118,81,225,11.3,0.7,1.9,5.5,2,Kansas,27,484,12.4
Donte Greene,2,1.6,0.492,0.345,83,226,17.7,1.3,2.6,7.2,1,Syracuse,28,253,1.5
D.J. White,0.9,2,0.563,0.333,81,251,14.6,0.7,1.9,7.6,4,Indiana,29,138,3.8
J.R. Giddens,2.8,0.9,0.545,0.313,77,215,16.1,1.2,2.2,7.8,4,New Mexico,30,38,0.1
Walter Sharpe,1.7,1.8,0.535,0,81,245,14.2,1.2,2.8,6.8,3,Alabama at Birmingham,32,8,-0.1
Joey Dorsey,0.5,1.8,0.614,0,80,268,6.7,1.1,1.1,8.1,4,Memphis,33,130,2.9
Mario Chalmers,3.8,0.4,0.545,0.419,73,190,12.2,2.6,1.9,2.8,3,Kansas,34,580,31.7
DeAndre Jordan,0.4,1.3,0.617,0,83,250,7.9,0.2,1.6,6,1,Texas A&M,35,673,66.9
Luc Richard Mbah a Moute,1.6,0.6,0.545,0.215,80,230,8.7,1.3,1.9,7.2,3,UCLA,37,621,23.2
