Player,ast_per_g,blk_per_g,fg2_pct,fg3_pct,height,lb,pts_per_g,stl_per_g,tov_per_g,trb_per_g,years,Pick,WS,Games,School
Jeff Green,3.1,1.2,0.531,0.359,81,235,13.1,0.9,2.195454545,6.5,3,5,0.4,25,Georgetown
Corey Brewer,2.8,0.4,0.536,0.356,81,185,11.3,1.6,2.195454545,4.3,3,7,19.2,711,Florida
Brandan Wright,1,1.8,0.646,0,81,205,14.7,1,2.195454545,6.2,1,8,24.9,400,North Carolina
Joakim Noah,1.7,1.7,0.617,0.5,83,232,10.5,0.9,2.195454545,6.4,3,9,59.6,618,Florida
Spencer Hawes,1.9,1.7,0.533,0.333,84,245,14.9,0.5,2.195454545,6.4,1,10,22.6,684,Washington
Acie Law,4.5,0,0.502,0.357,75,195,13.7,1.3,2.195454545,3.1,4,11,1.6,188,Texas A&M
Thaddeus Young,2,0.4,0.498,0.419,80,220,14.4,1.3,2.195454545,4.9,1,12,47.3,739,Georgia Tech
Julian Wright,2,1.3,0.565,0.188,80,225,10.4,1.2,2.195454545,6.3,2,13,3.9,231,Kansas
Al Thornton,0.7,0.6,0.543,0.438,80,220,12.3,0.8,2.195454545,5.2,4,14,6.1,296,Florida State
Rodney Stuckey,4.8,0.3,0.54,0.317,77,205,24.4,2.3,2.195454545,4.7,2,15,28.7,651,Eastern Washington
Nick Young,1.4,0.3,0.518,0.368,78,200,15.5,0.8,2.195454545,5.1,3,16,16.9,636,Southern California
Sean Williams,0.6,2.8,0.577,0,82,235,5.5,0.6,2.195454545,4.2,3,17,3,137,Boston College
Javaris Crittenton,5.8,0.1,0.488,0.356,77,200,14.4,2,2.195454545,3.7,1,19,0.1,113,Georgia Tech
Jason Smith,2,1.7,0.556,0.308,84,240,14.7,0.5,2.195454545,7.9,3,20,13.9,563,Colorado State
Daequan Cook,1,0.3,0.465,0.415,77,205,9.8,0.7,2.195454545,4.3,1,21,22.9,612,Ohio State
Jared Dudley,3,0.3,0.548,0.365,79,225,15.9,1.4,2.195454545,7.2,4,22,39.5,740,Boston College
Wilson Chandler,1.2,1.5,0.487,0.303,80,220,12.9,0.7,2.195454545,7.1,2,23,23.5,516,DePaul
Morris Almond,1,0.5,0.514,0.435,78,225,15.1,0.7,2.195454545,3.5,4,25,0,38,Rice
Aaron Brooks,4.1,0.1,0.479,0.374,72,161,13.1,1.1,2.195454545,3.5,4,26,19.1,613,Oregon
Arron Afflalo,1.9,0.2,0.539,0.373,77,215,14.8,0.6,2.195454545,3.5,3,27,33.3,709,UCLA
Alando Tucker,1.6,0.2,0.522,0.307,78,205,16.5,0.8,2.195454545,5.7,5,29,11.1,352,Wisconsin
Carl Landry,1.2,0.8,0.628,0.233,81,248,18.4,1,2.195454545,7.1,3,31,35.9,513,Purdue
Gabe Pruitt,3.5,0.2,0.496,0.393,76,170,13.8,2,2.195454545,3.1,3,32,0.4,62,Southern California
Marcus Williams,7.3,0.2,0.413,0.375,75,205,9,1,2.195454545,3.2,3,33,-0.1,13,Arizona
Nick Fazekas,1.3,1.5,0.579,0.341,83,235,18.8,0.7,2.195454545,9.6,4,34,0.8,26,"University of Nevada, Reno"
Glen Davis,1.5,1.2,0.51,0.31,81,289,16.7,1.1,2.195454545,9.6,3,35,18.6,514,Louisiana State
Jermareo Davidson,1,1.8,0.471,0.211,82,230,10.1,0.5,2.195454545,7.3,4,36,0,52,Alabama
Josh McRoberts,2.4,1.9,0.559,0.278,82,240,10.8,1.2,2.195454545,6.5,2,37,18.5,431,Duke
Chris Richard,0.3,0.4,0.665,0,81,270,4.9,0.3,2.195454545,3.2,4,41,0.7,70,Florida
Derrick Byars,3.3,0.2,0.531,0.4,79,219.0165558,14.8,1.2,2.195454545,4.3,4,42,0.1,2,Vanderbilt
Adam Haluska,2.1,0.2,0.499,0.364,77,213.4718329,16.1,1.2,2.195454545,4.4,4,43,0,0,Iowa
Reyshawn Terry,0.9,0.5,0.526,0.419,79,219.0165558,7.3,0.6,2.195454545,3.5,4,44,0,0,North Carolina
Jared Jordan,6.9,0.1,0.521,0.326,74,205.1547485,13.1,1.4,2.195454545,4.8,4,45,0,0,Marist College
Stephane Lasme,0.9,3.4,0.595,0,80,215,8.6,0.7,2.195454545,6.4,4,46,0.3,16,University of Massachusetts Amherst
Dominic McGuire,3.3,3.6,0.516,0.299,81,220,13.5,0.9,2.195454545,9.8,3,47,4.1,342,Cal State Fresno
Aaron Gray,1.3,1.2,0.55,0,84,270,9.8,0.4,2.195454545,7,4,49,6.2,318,Pittsburgh
JamesOn Curry,3.5,0.2,0.464,0.404,75,207.92711,13.5,1,2.195454545,2.9,3,51,0,1,Oklahoma State
Taurean Green,3.6,0.1,0.419,0.389,72,177,10.6,1.1,2.195454545,2.2,3,52,-0.1,17,Florida
Demetris Nichols,1.1,0.8,0.493,0.358,80,216,10.9,1,2.195454545,4.1,4,53,-0.2,18,Syracuse
Herbert Hill,0.9,1.9,0.615,0,82,227.3336402,9.7,0.8,2.195454545,5.2,4,55,0,0,Providence College
Ramon Sessions,4.9,0.1,0.43,0.313,75,190,8.8,1.2,2.195454545,4.2,3,56,28.5,663,"University of Nevada, Reno"
Sammy Mejia,3.2,0.2,0.51,0.328,78,216.2441944,12.1,1,2.195454545,4.8,4,57,0,0,DePaul
D.J. Strawberry,2.9,0.4,0.503,0.33,77,201,10.1,1.8,2.195454545,3.3,4,59,-0.2,33,Maryland
Derrick Rose,4.7,0.4,0.521,0.337,75,190,14.9,1.2,2.7,4.5,1,1,34.4,470,Memphis
